skill
Java
Python
C
C++
C#
Kotlin
Dart
JavaScript
TypeScript
HTML
CSS
React
Angular
Vue
Node.js
Express.js
Next.js
MongoDB
MySQL
PostgreSQL
SQLite
Firebase
Firestore
Oracle DB
Redis
Elasticsearch
Android
Android Studio
XML
Ktor
Spring Boot
Hibernate
REST API
GraphQL
Docker
Kubernetes
AWS
GCP
Azure
CI/CD
Linux
Ubuntu
CentOS
Nginx
Apache
TensorFlow
PyTorch
Scikit-learn
Pandas
NumPy
Matplotlib
OpenCV
Machine Learning
Deep Learning
NLP
Computer Vision
Data Structures
Algorithms
DBMS
Operating Systems
OOP
Agile
Git
GitHub
GitLab
Bitbucket
Jira
Figma
Postman
JSON
YAML
JUnit
Selenium
Flutter
React Native
Swift
Xcode
Objective-C
Material Design
Google Maps API
mobile
JSON
Monile application
